96	0	164	4	2	5	3	28	1	3.2638297872340427
97	0	136	4	2	6	3	18	4	2.8865248226950353
98	0	128	4	2	6	3	25	2	3.198529411764706
99	2	131	2	2	6	2	25	3	3.1040609137055837
100	0	132	4	3	6	3	28	2	3.8333333333333335
101	4	129	3	1	6	3	28	2	3.77007299270073
102	5160	249	1	1	9	3	10	4928	1.5100121923697898
103	0	138	4	2	4	3	26	2	3.0208333333333335
104	0	230	4	1	7	3	25	1	2.469465648854962
105	0	132	4	2	6	3	18	4	3.216577540106952
106	2	220	3	2	6	2	28	1	3.6751740139211138
107	8	227	3	2	8	3	28	3	3.9324034334763946
108	0	157	4	1	5	3	20	1	3.1967871485943773
109	7	233	2	1	7	3	18	8	3.123819517313746
110	1944	242	1	0	7	3	10	1808	1.6243638750807174
111	11	163	2	1	5	3	18	10	2.827854671280277
112	0	159	4	3	7	3	0	1	4.663934426229508
113	0	164	4	2	4	3	28	1	3.109289617486339
114	10	229	3	1	7	3	26	8	2.955032119914347
115	0	131	4	2	6	3	27	2	3.3802281368821294
116	48	236	2	1	6	3	19	45	2.2264204545454547
117	0	131	4	3	7	3	0	1	5.061643835616438
118	0	127	4	2	6	3	28	1	3.9635036496350367
119	0	155	4	2	7	3	28	1	3.6
120	0	105	4	1	5	4	20	1	3.0530973451327434
121	48	241	2	1	6	3	18	43	2.8386198028289757
122	0	165	4	2	6	3	20	2	3.014925373134328
123	0	131	4	1	5	1	18	3	3.098850574712644
124	0	153	4	1	6	3	20	9	2.4572649572649574
125	0	20	4	2	5	4	24	1	3.15
126	0	159	4	3	7	3	0	1	4.666666666666667
127	0	105	4	2	6	2	28	1	3.9035087719298245
128	104	237	2	1	8	3	18	106	2.5816249050873195
129	0	132	4	2	6	2	19	3	3.5858823529411765
130	0	112	4	1	5	3	20	1	3.025
131	12	131	3	2	6	3	28	10	3.680422747861097
132	21	188	3	1	6	3	20	15	2.6650548033526755
133	0	130	4	6	9	3	0	1	7.141891891891892
134	0	130	4	4	7	3	39	1	5.142857142857143
135	17	36	3	2	8	3	28	15	4.177142857142857
136	2	162	3	1	7	3	24	5	3.8903265557609363
137	0	130	4	2	6	3	26	1	3.737051792828685
138	277	242	1	0	6	3	10	272	0.8251198805622683
139	0	134	4	1	7	2	23	3	3.34
140	0	159	4	3	7	3	0	1	4.666666666666667
141	0	164	4	2	4	2	23	1	2.911602209944751
142	0	134	4	2	4	3	23	1	2.9166666666666665
143	57	166	2	0	4	3	13	104	0.7609279609279609
144	17	161	2	1	5	3	18	11	2.613946800862689
145	0	131	4	2	6	3	28	1	3.8088235294117645
